urllib3.connectionpool | DEBUG | http://127.0.0.1:56633 "POST /session/82248eee01894e4098972fd5faa5a221/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:49653
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/element HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "POST /session/91af5b3219df6211f217ba6b1573a5bf/element HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "GET /session/91af5b3219df6211f217ba6b1573a5bf/screenshot HTTP/1.1" 404 222
urllib3.connectionpool | DEBUG | http://127.0.0.1:49653 "GET /session/91af5b3219df6211f217ba6b1573a5bf/screenshot HTTP/1.1" 404 222
