urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
WebUIOperation | DEBUG | mouse_hover operation                                      successful- img_apollo
WebUIOperation | DEBUG | mouse_hover operation                                      successful- img_apollo
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/click HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/click HTTP/1.1" 200 72
WebUIOperation | DEBUG | Click operation                                          successful- img_apollo
WebUIOperation | DEBUG | Click operation                                          successful- img_apollo
Browser | ERROR | element_finder - No or more than 1 element returned for provided locator(<type 'exceptions.Exception'>, Exception('No element returned for provided locator <favorites_plus>',), <traceback object at 0x03A69F08>)
Browser | ERROR | element_finder - No or more than 1 element returned for provided locator(<type 'exceptions.Exception'>, Exception('No element returned for provided locator <favorites_plus>',), <traceback object at 0x03A69F08>)
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/screenshot HTTP/1.1" 200 1292358
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/screenshot HTTP/1.1" 200 1292358
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-6/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-6/displayed HTTP/1.1" 200 72
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-6/click HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-6/click HTTP/1.1" 200 72
WebUIOperation | DEBUG | Click operation                                          successful- shows
WebUIOperation | DEBUG | Click operation                                          successful- shows
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-7/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-7/displayed HTTP/1.1" 200 72
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
Browser | DEBUG | Element identified: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
WebUIOperation | DEBUG | mouse_hover operation                                      successful- see_all_shows_link
WebUIOperation | DEBUG | mouse_hover operation                                      successful- see_all_shows_link
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
Browser | DEBUG | Element identified: By=xpath, ByValue=//div[@id="show-drop-desktop"]/ul/li[12]/div/a
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-8/click HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-8/click HTTP/1.1" 200 72
WebUIOperation | DEBUG | Click operation                                          successful- see_all_shows_link
WebUIOperation | DEBUG | Click operation                                          successful- see_all_shows_link
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-9/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-9/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 104
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 104
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-10/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-10/displayed HTTP/1.1" 200 72
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/moveto HTTP/1.1" 200 72
WebUIOperation | DEBUG | mouse_hover operation                                      successful- img_apollo
WebUIOperation | DEBUG | mouse_hover operation                                      successful- img_apollo
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 106
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
Browser | DEBUG | Element identified: By=xpath, ByValue=//img[@src='https://api.discovery.com/v1/images/5d1c1e5085aeee22b74251c5?aspectRatio=original&width=&height=45&key=3020a40c2356a645b4b4']
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-10/click HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-10/click HTTP/1.1" 200 72
WebUIOperation | DEBUG | Click operation                                          successful- img_apollo
WebUIOperation | DEBUG | Click operation                                          successful- img_apollo
